Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MYL,Mylan Nv Ord Shs,33.86,-0.18,-0.53%,34.46,33.33,3520900,11/30/2018
NBL,Noble Energy Inc,23.74,-0.53,-2.18%,24.16,23.56,4975900,11/30/2018
NCLH,Norwegian Cruise Ord,51.32,-0.24,-0.47%,51.65,50.09,4278700,11/30/2018
NDAQ,Nasdaq Inc,91.32,0.93,1.03%,91.62,90.04,930300,11/30/2018
NEE,Nextera Energy,181.71,4.59,2.59%,182.03,177.22,3951800,11/30/2018
NEM,Newmont Mining Corp,32.34,0,0.00%,32.38,31.76,7679700,11/30/2018
NFLX,Netflix Inc,286.13,-2.62,-0.91%,290.81,283.06,11860100,11/30/2018
NFX,Newfield Exploration Company,16.95,-0.6,-3.42%,17.35,16.74,18391000,11/30/2018
NI,NiSource Inc,26.42,0.37,1.42%,26.45,25.88,4024600,11/30/2018
NKE,Nike Inc,75.12,0.78,1.05%,75.48,73.9,7947500,11/30/2018
NKTR,Nektar Therapeutics,40.39,1.13,2.88%,40.52,38.6,2708400,11/30/2018
NLSN,Nielsen Holdings Plc,27.17,0.02,0.07%,27.32,26.84,3138000,11/30/2018
NOC,Northrop Grumman Corp,259.88,-0.79,-0.30%,260.91,254.84,4006300,11/30/2018
NOV,National-Oilwell,32.11,-0.62,-1.89%,32.78,32.06,3708600,11/30/2018
NRG,NRG Energy,38.43,-0.36,-0.93%,39.32,38.33,19793000,11/30/2018
NSC,Norfolk Southern Corp,170.74,2.3,1.37%,171.92,168.02,2352500,11/30/2018
NTAP,Netapp Inc,66.87,-0.53,-0.79%,68.16,66.7,4095100,11/30/2018
NTRS,Northern Trust Corp,99.23,2.23,2.30%,99.61,96.29,1404300,11/30/2018
NUE,Nucor Corp,60.41,0.43,0.72%,60.49,59.57,2403100,11/30/2018
NVDA,Nvidia Corp,163.43,6.07,3.86%,163.86,155.72,18239100,11/30/2018
NWL,Newell Rubbermaid Inc,23.4,-0.4,-1.68%,24.21,23.4,14213700,11/30/2018
NWS,News Cp Cl B Cmn ST,13.4,-0.2,-1.47%,13.66,13.37,482000,11/30/2018
NWSA,News Cp Cl A Cmn ST,12.98,-0.23,-1.74%,13.28,12.97,3953400,11/30/2018
O,Realty Income Corp,64.09,0.23,0.36%,64.37,63.49,4113000,11/30/2018
OKE,Oneok Inc,61.43,0.09,0.15%,61.71,60.42,3127900,11/30/2018
OMC,Omnicom Group Inc,76.97,-0.21,-0.27%,77.54,76.72,3236300,11/30/2018
ORCL,Oracle Corp,48.76,0.86,1.80%,48.84,47.71,22884400,11/30/2018
ORLY,O'Reilly Automotive,346.78,-8.07,-2.27%,356.73,344.29,814600,11/30/2018
OXY,Occidental Petroleum Corp,70.27,-0.64,-0.90%,71,69.13,5947800,11/30/2018
PAYX,Paychex Inc,70.76,0.84,1.20%,70.99,69.8,3417400,11/30/2018
PBCT,People's United Finl,16.86,0.49,2.99%,16.91,16.23,6624900,11/30/2018
PCAR,Paccar Inc,62.22,0.91,1.48%,62.29,61.14,3435500,11/30/2018
PCG,Pacific Gas & Electric Co,26.38,-0.38,-1.42%,26.99,26.02,9689900,11/30/2018
PEG,Public Service Enterprise Group Inc,55.9,1.38,2.53%,55.94,54.51,3922700,11/30/2018
PEP,Pepsico Inc,121.94,3.67,3.10%,122,118.13,8051100,11/30/2018
PFE,Pfizer Inc,46.23,0.72,1.58%,46.26,45.28,42746199,11/30/2018
PFG,Principal Financial Group Inc,49.32,-0.36,-0.72%,49.48,48.8,2815600,11/30/2018
PG,Procter & Gamble Company,94.51,1.69,1.82%,94.65,92.75,16291801,11/30/2018
PGR,Progressive Corp,66.29,1.1,1.69%,66.41,65.03,5104700,11/30/2018
PH,Parker-Hannifin Corp,172.04,3.14,1.86%,172.6,167.54,1187900,11/30/2018
PHM,Pultegroup,26.52,-0.21,-0.79%,26.92,26.38,6247700,11/30/2018
PKG,Packaging Corporation of America,97.82,1.32,1.37%,98.18,96.16,865500,11/30/2018
PKI,Perkinelmer,87.06,0.43,0.50%,87.37,86.17,631100,11/30/2018
PLD,Prologis Inc,67.34,0.16,0.24%,67.89,66.72,3558600,11/30/2018
PM,Philip Morris International Inc,86.53,-0.43,-0.49%,87.36,86.02,5651600,11/30/2018
PNC,PNC Bank,135.78,2.13,1.59%,136.73,133.25,3194300,11/30/2018
PNR,Pentair Ltd,42.7,0.23,0.54%,42.97,42.18,1712300,11/30/2018
PNW,Pinnacle West Capital Corp,89.36,0.52,0.59%,89.51,88.32,1431500,11/30/2018
PPG,PPG Industries,109.33,0.86,0.79%,109.99,108.24,1962000,11/30/2018
PPL,PPL Corp,30.59,-0.08,-0.26%,30.74,30.23,9053200,11/30/2018
PRGO,Perrigo Company,62.28,-1.83,-2.85%,64.26,61.84,1250700,11/30/2018
PRU,Prudential Financial Inflation Retail,93.76,0.85,0.91%,93.9,92.55,2287600,11/30/2018
PSA,Public Storage,213.26,1.4,0.66%,213.29,210.63,1703800,11/30/2018
PSX,Phillips 66,93.52,0.84,0.91%,93.61,91.58,4393600,11/30/2018
PVH,Phillips-Van Heusen Corp,110.51,0.74,0.67%,115.36,109.11,3135600,11/30/2018
PWR,Quanta Services,35.1,0.72,2.09%,35.11,34.29,1615900,11/30/2018
PXD,Pioneer Natural Resources Co,147.75,-1.42,-0.95%,150,145.77,2084700,11/30/2018
PYPL,Paypal Holdings,85.81,1.55,1.84%,85.86,83.66,11273200,11/30/2018
QCOM,Qualcomm Inc,58.26,0.15,0.26%,58.47,57.02,18197699,11/30/2018
QRVO,Qorvo Inc,65.81,0.52,0.80%,66.3,64.84,1711200,11/30/2018
RCL,Royal Caribbean Cruises Ltd,113.07,1.44,1.29%,113.16,110.68,1574800,11/30/2018
RE,Everest Re Group,222.08,1.96,0.89%,223.56,219.83,474800,11/30/2018
REG,Regency Centers Corp,63.66,0.84,1.34%,63.78,63.03,1357200,11/30/2018
REGN,Regeneron Pharmaceutical,365.65,6.08,1.69%,368.24,359.5,696800,11/30/2018
RF,Regions Financial Corp,16.45,0.24,1.48%,16.54,16.16,20201000,11/30/2018
RHI,Robert Half International Inc,61.83,0.01,0.02%,62.76,61.6,1087400,11/30/2018
RHT,Red Hat Inc,178.56,0.67,0.38%,179.49,177.52,2460000,11/30/2018
RJF,Raymond James Financial,79.73,3.46,4.54%,80.05,76.14,1579600,11/30/2018
RL,Ralph Lauren Corp,111.4,0.11,0.10%,113.17,110.39,1548600,11/30/2018
RMD,Resmed Inc,111.79,1.29,1.17%,112.1,109.42,1494000,11/30/2018
ROK,Rockwell Automation Inc,174.34,2.57,1.50%,174.53,168.96,789000,11/30/2018
ROL,Rollins Inc,63.56,-0.19,-0.30%,64.21,63.51,1013100,11/30/2018
ROP,Roper Industries,297.59,3.72,1.27%,298.07,293.33,414200,11/30/2018
ROST,Ross Stores Inc,87.6,1.66,1.93%,87.71,85.8,7369000,11/30/2018
RSG,Republic Services,77.34,0.55,0.72%,77.46,76.64,2611100,11/30/2018
RTN,Raytheon Company,175.34,1.76,1.01%,175.53,172.61,2603800,11/30/2018
SBAC,SBA Communications,170.81,2.26,1.34%,171.01,168.69,934700,11/30/2018
SBUX,Starbucks Corp,66.72,-0.16,-0.24%,67.38,66.65,27309100,11/30/2018
